vamc_display,station_no,va_funded,not_in_dimensions,alt_station_nos
"VA Central Western Massachusetts Healthcare System (Northampton, MA)",631,Y,False,631
"Northport VA Medical Center (Fort Salonga, New York)",632,Y,False,632
Oklahoma City VA Medical Center; Oklahoma City VA Health Care System,635,Y,False,635
Omaha VA Medical Center; VA Nebraska Western Iowa Health Care System,636,Y,False,636
"Charles George VA Medical Center (Asheville, NC)",637,Y,False,637
Philadelphia VA Medical Center,642,Y,False,642
Phoenix VA Health Care System; Carl T. Hayden Veterans Affairs Medical Center,644,Y,False,644
Portland VA Medical Center; VA Portland Health Care System,648,Y,False,648
Northern Arizona VA Health Care System,649,Y,False,649
Providence VA Medical Center,650,Y,False,650
"Hunter Holmes McGuire VA Medical Center (Richmond, VA)",652,Y,False,652
"VA Sierra Nevada Health Care System (Reno, NV)",654,Y,False,654
St. Cloud VA Health Care System,656,,False,656
St. Louis VA Medical Center; VA St. Louis Health Care System; John Cochran VA Medical Center,657,Y,False,657
"Salem VA Medical Center (Salem, VA)",658,Y,False,658
"W. G. (Bill) Hefner VA Medical Center (Salisbury, NC)",659,Y,False,659
VA Salt Lake City Health care System; George E. Wahlen Department of VA Medical Center,660,Y,False,660
San Francisco VA Medical Center; San Francisco VA Health Care System,662,Y,False,662
VA San Diego Healthcare System,664,Y,False,664
VA Sepulveda Ambulatory Care Center,665,Y,False,665
"Overton Brooks VA Medical Center (Shreveport, LA)",667,Y,False,667
"Mann-Grandstaff VA Medical Center (Spokane, WA)",668,Y,False,668
Audie L. Murphy Memorial VA Hospital; VA South Texas Health Care System,671,,False,671
"VA Caribbean Healthcare System (San Juan, PR)",672,Y,False,672
"James A. Haley Veterans' Hospital (Tampa, FL)",673,Y,False,673
"Central Texas Veterans Health Care System; Olin E. Teague VA Medical Center (Temple, TX)",674,Y,False,674
Orlando VA Medical Center,675,Y,False,675
"Southern Arizona VA Health Care System (Tucson, AZ)",678,Y,False,678
Tuscaloosa VA Medical Center,679,Y,False,679
Jonathan M. Wainwright Memorial VAMC - Walla Walla VA (Not in VA Dimensions),687,,True,687
Washington DC VA Medical Center,688,Y,False,688
"VA Connecticut Healthcare System (West Haven, CT)",689,Y,False,689
VA West Los Angeles Medical Center; VA Greater Los Angeles Healthcare System,691,Y,False,691
Wilkes-Barre VA Medical Center,693,Y,False,693
Milwaukee VA Medical Center (includes Clement J. Zablocki VAMC),695,Y,False,695
El Paso VA Health Care System,756,,False,756
